Store Name: Pantry 1 Colonia
Store Address: 440 Lake Ave
Store Phone: 7323814766
Sales by Hours
05:00 AM to 06:00 AM,206.98
06:00 AM to 07:00 AM,935.00
07:00 AM to 08:00 AM,1178.41
08:00 AM to 09:00 AM,1234.74
09:00 AM to 10:00 AM,1170.31
10:00 AM to 11:00 AM,1178.08
11:00 AM to 12:00 PM,1258.46
12:00 PM to 01:00 PM,1346.44
01:00 PM to 02:00 PM,1376.44
02:00 PM to 03:00 PM,1284.81
03:00 PM to 04:00 PM,1538.62
04:00 PM to 05:00 PM,1434.46
05:00 PM to 06:00 PM,1461.48
06:00 PM to 07:00 PM,1204.40
07:00 PM to 08:00 PM,1165.91
08:00 PM to 09:00 PM,1053.82
09:00 PM to 10:00 PM,938.49
10:00 PM to 11:00 PM,510.31
11:00 PM to 12:00 AM,3.99
